City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Dates
Ribeira Grande,38.5167,-28.7,71.47,79,71,20.0,PT,1633821458
Mataura,-46.1927,168.8643,61.48,45,13,3.33,NZ,1633821483
Robertsport,6.7533,-11.3686,79.5,83,84,8.37,LR,1633821751
Ushuaia,-54.8,-68.3,46.06,81,75,32.21,AR,1633821347
Kapaa,22.0752,-159.319,85.98,69,90,5.01,US,1633821511
Quesnel,52.9999,-122.5029,46.9,87,90,8.05,CA,1633821754
Arman',59.7,150.1667,31.3,47,5,3.94,RU,1633821756
Mpanda,-6.3655,31.0409,76.19,35,73,0.69,TZ,1633821757
Mount Gambier,-37.8333,140.7667,53.33,57,42,8.63,AU,1633821559
Nabire,-3.3667,135.4833,80.55,85,93,2.26,ID,1633821760
Talnakh,69.4865,88.3972,15.78,93,50,8.68,RU,1633821496
Makakilo City,21.3469,-158.0858,80.92,63,90,14.97,US,1633821762
Bengkulu,-3.8004,102.2655,76.28,93,42,4.63,ID,1633821764
Busselton,-33.65,115.3333,45.09,78,95,7.25,AU,1633821548
Province of Mantua,45.1667,10.7833,60.28,77,66,5.01,IT,1633821766
Dabwāli,29.95,74.7333,76.91,36,0,5.37,IN,1633821767
Hong Kong,22.2855,114.1577,81.25,90,100,1.01,HK,1633821253
New Norfolk,-42.7826,147.0587,53.71,51,60,4.0,AU,1633821501
Rikitea,-23.1203,-134.9692,74.41,81,100,18.07,PF,1633821338
Puerto Ayora,-0.7393,-90.3518,70.56,87,79,5.99,EC,1633821421
Hithadhoo,-0.6,73.0833,82.51,69,100,9.6,MV,1633821355
Duvan,55.695,57.9024,41.29,92,100,6.6,RU,1633821774
Broome,42.2506,-75.833,61.86,72,40,3.0,US,1633821776
Inhambane,-23.865,35.3833,71.01,81,0,10.0,MZ,1633821777
Clyde River,70.4692,-68.5914,34.38,73,100,10.56,CA,1633821552
Tiksi,71.6872,128.8694,16.05,91,80,2.89,RU,1633821593
Chui,-33.6971,-53.4616,55.76,84,12,8.05,UY,1633821442
Lebu,-37.6167,-73.65,52.03,88,0,8.52,CL,1633821581
Palizada,18.25,-92.0833,85.98,75,100,0.78,MX,1633821783
Punta Arenas,-53.15,-70.9167,46.51,76,75,21.85,CL,1633821351
Yellowknife,62.456,-114.3525,42.42,100,90,3.0,CA,1633821329
Buin,-33.7333,-70.75,62.92,70,34,5.06,CL,1633821787
Qaanaaq,77.484,-69.3632,28.62,75,100,14.88,GL,1633821788
Albany,42.6001,-73.9662,61.66,79,100,1.99,US,1633821307
Bluff,-46.6,168.3333,62.8,62,60,3.76,NZ,1633821604
Kaeo,-35.1,173.7833,65.32,68,63,10.27,NZ,1633821763
Sebring,27.4956,-81.4409,82.31,85,75,4.0,US,1633821793
Saint Paul Harbor,57.79,-152.4072,51.31,46,75,18.41,US,1633821454
Eyl,7.9803,49.8164,77.05,84,27,10.71,SO,1633821795
Vila Franca do Campo,37.7167,-25.4333,73.2,83,60,9.13,PT,1633821430
Pokhara,28.2333,83.9833,66.47,79,41,4.56,NP,1633821798
Merauke,-8.4667,140.3333,80.91,80,98,12.3,ID,1633821799
Avera,33.194,-82.5271,75.25,83,37,6.67,US,1633821575
Nikolskoye,59.7035,30.7861,53.87,83,99,4.9,RU,1633821599
Tadine,-21.55,167.8833,74.26,54,86,15.59,NC,1633821803
Avarua,-21.2078,-159.775,77.05,65,90,4.61,CK,1633821553
Kaitangata,-46.2817,169.8464,58.32,54,2,3.62,NZ,1633821523
Hobart,-42.8794,147.3294,54.05,57,40,5.01,AU,1633821348
Atuona,-9.8,-139.0333,77.95,73,7,17.72,PF,1633821426
Jamestown,42.097,-79.2353,63.99,89,90,5.01,US,1633821308
Lodja,-3.4833,23.4333,70.56,93,83,0.94,CD,1633821810
Matara,5.9485,80.5353,78.98,87,100,10.8,LK,1633821811
Castro,-24.7911,-50.0119,56.3,99,100,5.12,BR,1633821410
Balabac,7.9868,117.0645,82.96,82,100,12.1,PH,1633821813
Porbandar,21.6422,69.6093,81.73,81,76,3.49,IN,1633821752
Santander,43.4647,-3.8044,59.99,93,90,2.3,ES,1633821605
East London,-33.0153,27.9116,60.71,68,7,17.92,ZA,1633821465
Darhan,49.4867,105.9228,32.67,62,1,6.26,MN,1633821592
Mana,5.6592,-53.7767,81.77,81,100,12.55,GF,1633821819
Porto Torres,40.835,8.3972,59.18,55,35,15.5,IT,1633821821
Hermanus,-34.4187,19.2345,56.89,79,0,10.4,ZA,1633821327
Mackenzie,55.2999,-123.1698,48.42,76,75,10.36,CA,1633821823
Necochea,-38.5473,-58.7368,54.03,80,0,10.78,AR,1633821824
Dunedin,-45.8742,170.5036,58.8,66,1,11.99,NZ,1633821826
Lebyazh'ye,55.2689,66.4947,40.21,78,100,7.96,RU,1633821827
Bredasdorp,-34.5322,20.0403,47.52,93,0,1.14,ZA,1633821564
Oranjemund,-28.55,16.4333,57.0,88,5,7.76,NA,1633821830
Northam,51.0333,-4.2167,59.4,95,100,3.22,GB,1633821832
Ouallam,14.3188,2.0866,92.62,21,69,6.24,NE,1633821833
Fairbanks,64.8378,-147.7164,39.6,85,90,3.44,US,1633821693
Vaini,-21.2,-175.2,80.76,83,20,5.75,TO,1633821330
Cascais,38.6979,-9.4215,63.97,75,57,3.0,PT,1633821837
Thibodaux,29.7958,-90.8229,83.97,69,41,1.01,US,1633821838
Cidreira,-30.1811,-50.2056,63.75,87,100,18.54,BR,1633821495
Tasiilaq,65.6145,-37.6368,32.16,84,12,6.85,GL,1633821509
Havøysund,70.9963,24.6622,41.88,95,100,3.24,NO,1633821771
Pevek,69.7008,170.3133,25.2,93,100,3.13,RU,1633821843
Havre-St-Pierre,50.2334,-63.5986,50.0,87,1,0.0,CA,1633821844
Husavik,66.0449,-17.3389,40.91,96,100,10.69,IS,1633821728
Caluquembe,-13.7833,14.6833,68.22,41,19,2.62,AO,1633821847
